127.0.0.1 - - [17/Feb/2022:09:06:24 +0900] "POST /TeamProjectDCUM/insertTaskp.do HTTP/1.1" 302 -
127.0.0.1 - - [17/Feb/2022:09:06:24 +0900] "GET /TeamProjectDCUM/work_psj/class/index.jsp HTTP/1.1" 200 8710
127.0.0.1 - - [17/Feb/2022:09:06:24 +0900] "POST /TeamProjectDCUM/ClassInfo.do HTTP/1.1" 200 28
127.0.0.1 - - [17/Feb/2022:09:06:24 +0900] "POST /TeamProjectDCUM/ClassNotice.do HTTP/1.1" 200 400
127.0.0.1 - - [17/Feb/2022:09:06:24 +0900] "POST /TeamProjectDCUM/detailClass.do HTTP/1.1" 200 1618
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/work_kmk/side_bar/undefined.jsp HTTP/1.1" 404 1133
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/main/mainp.jsp HTTP/1.1" 200 4434
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/main/main_pro_show.jsp HTTP/1.1" 200 1787
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/work_kmk/iframe_kmk/card.jsp HTTP/1.1" 200 3345
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 1100
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 1100
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/work_psj/homework/index.jsp HTTP/1.1" 200 5304
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/work_psj/Test/index.jsp HTTP/1.1" 200 5677
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/work_psj/iframe_psj/getwork.jsp HTTP/1.1" 200 4010
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/sideGongji.do HTTP/1.1" 200 1896
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "POST /TeamProjectDCUM/classList.do HTTP/1.1" 200 100
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 1100
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "POST /TeamProjectDCUM/selectTestMenu.do HTTP/1.1" 200 50
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "GET /TeamProjectDCUM/selectAllMyTask.do HTTP/1.1" 200 2
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "POST /TeamProjectDCUM/selectOldMyTask.do HTTP/1.1" 200 2
127.0.0.1 - - [17/Feb/2022:09:06:28 +0900] "POST /TeamProjectDCUM/mainNotice.do HTTP/1.1" 200 35
127.0.0.1 - - [17/Feb/2022:09:06:33 +0900] "POST /TeamProjectDCUM/selectTest.do HTTP/1.1" 200 363
127.0.0.1 - - [17/Feb/2022:09:06:40 +0900] "GET /TeamProjectDCUM/logout.do HTTP/1.1" 302 -
127.0.0.1 - - [17/Feb/2022:09:06:40 +0900] "GET /TeamProjectDCUM/main/login.jsp HTTP/1.1" 200 4586
127.0.0.1 - - [17/Feb/2022:09:06:40 +0900] "GET /TeamProjectDCUM/main/assets/mp4/bg.mp4 HTTP/1.1" 206 1310720
127.0.0.1 - - [17/Feb/2022:09:06:40 +0900] "GET /TeamProjectDCUM/main/assets/mp4/bg.mp4 HTTP/1.1" 206 127
127.0.0.1 - - [17/Feb/2022:09:06:40 +0900] "GET /TeamProjectDCUM/main/assets/mp4/bg.mp4 HTTP/1.1" 206 1048578
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "POST /TeamProjectDCUM/login.do HTTP/1.1" 302 -
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/main/login.jsp HTTP/1.1" 200 2188
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/main/main.jsp HTTP/1.1" 200 4642
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/work_kmk/iframe_kmk/card.jsp HTTP/1.1" 200 3491
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/main/mainshow.jsp HTTP/1.1" 200 2514
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/images/icon/%EC%95%8C%EB%9E%8C%EC%8B%9C%EA%B3%84.PNG HTTP/1.1" 304 -
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/work_kmk/iframe_kmk/slider.jsp HTTP/1.1" 200 3542
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/work_psj/iframe_psj/getwork.jsp HTTP/1.1" 200 4010
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/sideGongji.do HTTP/1.1" 200 1896
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 1100
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "POST /TeamProjectDCUM/classList.do HTTP/1.1" 200 104
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "POST /TeamProjectDCUM/mainNotice.do HTTP/1.1" 200 98
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "POST /TeamProjectDCUM/classList.do HTTP/1.1" 200 104
127.0.0.1 - - [17/Feb/2022:09:06:46 +0900] "GET /TeamProjectDCUM/images/icon/%EC%9D%B8%EB%8D%B1%EC%8A%A4.PNG HTTP/1.1" 304 -
127.0.0.1 - - [17/Feb/2022:09:06:48 +0900] "GET /TeamProjectDCUM/work_psj/homework/index.jsp HTTP/1.1" 200 5304
127.0.0.1 - - [17/Feb/2022:09:06:48 +0900] "POST /TeamProjectDCUM/selectOldMyTask.do HTTP/1.1" 200 474
127.0.0.1 - - [17/Feb/2022:09:06:48 +0900] "GET /TeamProjectDCUM/selectAllMyTask.do HTTP/1.1" 200 210
127.0.0.1 - - [17/Feb/2022:09:06:54 +0900] "GET /TeamProjectDCUM/insertTask.do?title=sesef&cont=sefesefse&file=&subname=%EA%B3%BC%EC%A0%9C%EB%93%B1%EB%A1%9D%ED%85%8C%EC%8A%A4%ED%8A%B8 HTTP/1.1" 302 -
127.0.0.1 - - [17/Feb/2022:09:06:54 +0900] "GET /TeamProjectDCUM/work_psj/homework/index.jsp HTTP/1.1" 200 5304
127.0.0.1 - - [17/Feb/2022:09:06:55 +0900] "GET /TeamProjectDCUM/selectAllMyTask.do HTTP/1.1" 200 2
127.0.0.1 - - [17/Feb/2022:09:06:55 +0900] "POST /TeamProjectDCUM/selectOldMyTask.do HTTP/1.1" 200 728
127.0.0.1 - - [17/Feb/2022:09:06:58 +0900] "POST /TeamProjectDCUM/selectOldMyTask.do HTTP/1.1" 200 728
127.0.0.1 - - [17/Feb/2022:09:07:01 +0900] "GET /TeamProjectDCUM/work_kmk/side_bar/undefined.jsp HTTP/1.1" 404 1133
127.0.0.1 - - [17/Feb/2022:09:07:01 +0900] "GET /TeamProjectDCUM/main/main.jsp HTTP/1.1" 200 4642
127.0.0.1 - - [17/Feb/2022:09:07:01 +0900] "GET /TeamProjectDCUM/work_kmk/iframe_kmk/card.jsp HTTP/1.1" 200 3491
