127.0.0.1 - - [03/Feb/2022:09:03:28 +0900] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [03/Feb/2022:09:03:30 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:03:30 +0900] "GET /servlerTest2/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2022:09:03:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [03/Feb/2022:09:03:34 +0900] "POST /servlerTest2/Join.do HTTP/1.1" 200 55
127.0.0.1 - - [03/Feb/2022:09:05:18 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:18 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:18 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:19 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:19 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:20 +0900] "POST /servlerTest2/Join.do HTTP/1.1" 200 55
127.0.0.1 - - [03/Feb/2022:09:05:24 +0900] "POST /servlerTest2/Join.do HTTP/1.1" 200 55
127.0.0.1 - - [03/Feb/2022:09:05:51 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:51 +0900] "GET /servlerTest2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [03/Feb/2022:09:05:51 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:51 +0900] "GET /servlerTest2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [03/Feb/2022:09:05:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [03/Feb/2022:09:05:51 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:52 +0900] "GET /servlerTest2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [03/Feb/2022:09:05:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [03/Feb/2022:09:05:52 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:05:52 +0900] "GET /servlerTest2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [03/Feb/2022:09:05:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [03/Feb/2022:09:05:54 +0900] "POST /servlerTest2/Join.do HTTP/1.1" 200 55
127.0.0.1 - - [03/Feb/2022:09:06:03 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
127.0.0.1 - - [03/Feb/2022:09:06:03 +0900] "GET /servlerTest2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [03/Feb/2022:09:06:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [03/Feb/2022:09:06:03 +0900] "GET /servlerTest2/member/join.jsp HTTP/1.1" 200 1468
